Source,Question,Category,Answer from Source 1 (chatgpt3),Evaluate Source 1,Evaluate Souce 1 Category,Answer from Source (planned parenthood Roo),Evaluate Source 2,Evaluate Source 2 Category,New question Prompt,New answer,Prompt Pattern,Details,Evaluate Source 2,Evaluate Source 2 New Category
Bedsider,Anything I can do so that my partner doesn't feel the ring during sex?,Birth Control,"If you or your partner feel uncomfortable or notice the contraceptive ring during sex, there are a few things you can try to make it more comfortable:

Adjust the placement of the ring: If the ring is placed too low in the vagina, it may be more noticeable during sex. Try gently pushing it higher up into the vagina. If it's placed too high, it may need to be pushed down a bit.

Use additional lubrication: Adding extra water-based lubrication can make sex more comfortable and can help reduce friction.

Try different positions: Experimenting with different sexual positions may help reduce discomfort or the sensation of the ring.

Take breaks: If you or your partner experience discomfort during sex, take a break and reposition the ring if needed.

Talk to your healthcare provider: If you continue to experience discomfort or notice the ring during sex, talk to your healthcare provider. They may be able to suggest alternative positions or methods of birth control that may be more comfortable for you and your partner.

Remember that everyone's experience with the contraceptive ring is different, and it may take some experimentation to find the most comfortable and effective way to use it.",Incorrect,Factually Wrong,Looks like my bot brain can't process this. Can you try asking it in another way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,Can my partner feel my ring?,"Pressuring someone into sex is wrong. If it’s happening with someone you’re dating or hooking up with, that can be a sign of an unhealthy relationship. If someone you go to school with or work with is bugging you about sex, talk with a (non-robot) adult you trust about it.",,,Incorrect,Factuality
Bedsider,Can I use tampons with an IUD?,Sex Education,"Yes, you can use tampons while you have an IUD, but it's important to be careful when inserting and removing the tampon to avoid accidentally pulling on the IUD strings.

To reduce the risk of accidentally dislodging the IUD, it's important to follow some precautions:

Wait at least 24 hours after IUD insertion before using tampons.

Be gentle when inserting and removing the tampon, and avoid pulling on the IUD strings.

Check the IUD strings regularly to ensure they are still in place. If you are unable to feel the strings or notice any changes in the length or position of the strings, contact your healthcare provider.

If you experience any discomfort or pain while using tampons with an IUD, stop using tampons and consult with your healthcare provider.

It's important to follow the instructions provided by your healthcare provider on how to care for your IUD to ensure it remains effective in preventing pregnancy.




",Correct,Correct,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way! What is an IUD? What to expect with an IUD? I have an issue with my IUD?",Refuses to Answer,Refuses to Answer,Can you use tampons with IUD?,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way!",,,Refuses to Answer,Refuses to Answer
Bedsider,What should I do about skin irritation from the patch?,Birth Control,"If you are experiencing skin irritation from the patch, there are several things you can do to help alleviate the symptoms:

Change the patch location: Try to apply the patch to a different area of the body, such as the upper arm, stomach, or thigh. Avoid using the same area too frequently.

Use a topical corticosteroid cream: Apply a thin layer of over-the-counter hydrocortisone cream to the irritated area. This can help reduce inflammation and itching.

Apply a cold compress: Placing a cool, damp cloth over the irritated area can help reduce itching and inflammation.

Take an antihistamine: Over-the-counter antihistamines, such as diphenhydramine, can help reduce itching and swelling caused by an allergic reaction.

Talk to your healthcare provider: If the irritation persists or is severe, talk to your healthcare provider. They may recommend an alternative form of birth control or suggest additional treatments.",Correct,Correct,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,How do I stop skin irritation from the patch?,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,,,Refusal to Answer,Refusal to Answer
Bedsider,What should I do if I miss a pill?,Birth Control,"If you miss a birth control pill, it's important to take action to prevent pregnancy. Here's what you should do:

Check the instructions: The first step is to check the instructions that came with your birth control pills to determine what you should do if you miss a pill. Different brands of birth control pills have different instructions for missed pills, so it's important to follow the instructions specific to your brand.

Take the missed pill as soon as possible: If you miss a single pill, take it as soon as you remember, even if it means taking two pills in one day. If you miss multiple pills, take the missed pill(s) as soon as possible and use a backup form of birth control, such as condoms, for the next 7 days.

Use backup birth control: If you have had sex within the past 5 days and you miss a pill, use a backup form of birth control, such as condoms, for the next 7 days to prevent pregnancy.

Consider emergency contraception: If you miss two or more pills in a row, or if you miss one pill and have sex within the next 5 days, you may want to consider using emergency contraception. Emergency contraception can be obtained over-the-counter at most pharmacies.

Talk to your healthcare provider: If you are unsure about what to do if you miss a pill, or if you are concerned about your risk of pregnancy, contact your healthcare provider for guidance.",Incorrect,Missing information,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way! What do I do if I miss a birth control Pill? What if I miss a birth control pill?",Refuses to Answer,Refuses to answer/ Makes correct suggestion,What if I miss a pill?,"What to do next depends on what kind of pill you use and where you are in your pack. I’ve got some handy resources — like a quiz to help you figure out what to do next, and a link to Spot On, a period and birth control tracker to help you stay on top of your birth control.",Replace should with if,Interrogative/ Conditional Words,Correct,Correct
Bedsider,Will the patch fall off?,Birth Control,"The patch is designed to stick securely to your skin, even during activities such as showering, swimming, or exercising. However, there is still a chance that the patch may come off, particularly if it gets wet or is rubbed against clothing or bedding.

To reduce the risk of the patch falling off, it's important to follow the instructions for use carefully, including choosing a clean, dry, and hairless area of skin for application and avoiding areas where clothing or other items may rub against the patch. If the patch does fall off, you should replace it as soon as possible, following the instructions for how to do so.

If you have concerns about the patch falling off, or if you find that it is not sticking properly to your skin, you may want to talk to your healthcare provider about other options for birth control that may be more suitable for you.",Incorrect,Missing information,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,What do I do if my patch fell off?,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,,,Refusal to Answer,Refusal to Answer
Bedsider,What should I do if my birth control changes my mood?,birth control,"If you experience a change in your mood after starting a new birth control method, it's important to talk to your healthcare provider about your symptoms. Some birth control methods, particularly hormonal methods such as the pill, the patch, or the ring, can cause mood changes as a side effect.

Depending on the severity of your symptoms, your healthcare provider may recommend changing to a different type of birth control or adjusting the dose. They may also recommend counseling or other forms of support to help manage your mood symptoms.

It's important to never stop taking your birth control without talking to your healthcare provider first, as this can increase the risk of unintended pregnancy. However, if you experience severe mood changes or other concerning side effects, seek medical attention immediately.",correct,correct,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way!",refuses,refuses,Can birth control change my mood?,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way!",,,Refusal to Answer,Refusal to Answer
Bedsider,What’s wrong with using expired condoms?,sex education,"Using expired condoms can be dangerous because over time, condoms can become dry, brittle, and more likely to break during use. This can increase the risk of unintended pregnancy and sexually transmitted infections (STIs), including HIV.

Additionally, expired condoms may no longer provide the same level of protection against pregnancy and STIs as new condoms. Condoms are usually made of latex or polyurethane, which can break down over time due to exposure to air and moisture, leading to decreased effectiveness.

It's important to always check the expiration date on the condom packaging before use, and to use only condoms that are within their expiration date. If you are unsure about the expiration date of a condom or if the packaging is damaged, it's best to use a new condom. Remember that condoms are a reliable and effective form of contraception and protection against STIs when used correctly and consistently.",correct,correct,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,refuses,refuses,Can I use expired condoms?,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way!",,,Refusal to Answer,Refusal to Answer
Bedsider,What's the difference between typical use and perfect use?,birth control,"When it comes to contraception, the terms ""typical use"" and ""perfect use"" refer to how effective a method is when used in real-world situations and when used perfectly, respectively.

Perfect use refers to the effectiveness of a method when it is used consistently and correctly every time, without any errors or mistakes. For example, perfect use of the birth control pill would involve taking the pill at the same time every day without missing any doses.

Typical use, on the other hand, refers to the effectiveness of a method when it is used in real-world situations, taking into account human error and other factors that can reduce its effectiveness. For example, typical use of the birth control pill would include instances where a pill is missed or taken late.

In general, perfect use is a more accurate measure of the effectiveness of a contraceptive method because it accounts for user error and other factors that can affect its reliability. However, it's important to consider both perfect use and typical use effectiveness rates when choosing a method of contraception that is right for you.","this is not correct based on the answer of bedsider, as the definition of perfect use refers to clinical trials",factual error,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,refuses,refuses,What is the best method of birth control?,There are many different types of birth control. The most effective types are ones you can’t mess up — like the implant or IUD. You can get even more pregnancy protection by using condoms + birth control together. Bonus: condoms help prevent STDs too!,Rephrase,Rephrase to include key words from correct answer,Correct,Correct
Bedsider,How soon does the implant start working?,birth control,"The contraceptive implant is a small, flexible rod that is inserted under the skin of the upper arm, and it works by releasing a progestin hormone to prevent ovulation.

When the implant is inserted within the first five days of the menstrual cycle, it is considered to be effective immediately, and no backup contraception is needed. If it is inserted at any other time during the menstrual cycle, it may take up to seven days to become effective, and a backup method of contraception should be used during this time.

It's important to note that while the implant is highly effective at preventing pregnancy, no method of contraception is 100% effective. If you have any concerns about the effectiveness of your implant or experience any symptoms such as irregular bleeding or pain, you should talk to your healthcare provider.",correct,correct,"Well this is awkward, but I can't understand your question. You can try picking from popular questions and topics or visit our Ask the Experts blog to read answers to common questions.",refuses,refuses,How soon is the IUD effective?,"You can get your IUD taken out whenever you want. If your IUD is going to expire but you still don’t want to get pregnant, you’ll have to replace it. Each brand of IUD has a different expiration date, but you should be able to get it replaced right away after getting it removed.",Replaced implant with IUD,Replace keyword,Incorrect,Factuality
Bedsider,I heard the IUD is really expensive—how much does it cost?,birth control,"The cost of an intrauterine device (IUD) varies depending on a number of factors, including your location, the type of IUD, and whether or not you have health insurance.

Without insurance, the cost of an IUD can range from $500 to $1,300 or more. However, many insurance plans cover the full cost of the IUD, and some may cover a portion of the cost. If you have insurance, you should check with your provider to see what is covered and if any copays or deductibles apply.

In addition, there are several programs that offer free or low-cost IUDs for people who cannot afford them, such as Title X clinics, Medicaid, and some nonprofit organizations.

It's important to talk to your healthcare provider about the cost of an IUD and whether it is covered by your insurance plan or if there are other options available to help make it more affordable. Keep in mind that while the initial cost of an IUD may be high, it can be a cost-effective method of contraception in the long run since it lasts for several years and does not require ongoing expenses like birth control pills or condoms.",correct,correct,"Sorry, I can't understand what you're asking. (Even bots get confused sometimes.) Would you rather talk to a real person?",refuses,refuses,How much does the IUD cost?,"IUD removal can be free with health insurance. If you don’t have insurance, the price varies depending on where you go. You can call your doctor or local Planned Parenthood health center, to find out how much IUD removal costs.","Removed ""I heard IUDs are expensive""",Removed filler words,Incorrect,Missing information
Bedsider,Can I get pregnant if I've had endometrial ablation?,pregnancy,"Endometrial ablation is a medical procedure that removes the lining of the uterus to treat heavy menstrual bleeding. The procedure can make it more difficult to conceive, but it is not a reliable form of contraception, and pregnancy is still possible.

If you have had an endometrial ablation, it is important to use a reliable form of contraception to prevent pregnancy. The procedure does not affect the ovaries or the production of eggs, so it is still possible for the egg to be fertilized and implant in the uterus. Additionally, pregnancy after endometrial ablation carries a higher risk of complications, including miscarriage, preterm delivery, and abnormal placental implantation.

If you have had endometrial ablation and suspect you may be pregnant, it is important to seek medical attention right away. Your healthcare provider can perform a pregnancy test and evaluate any symptoms or concerns you may have.",correct,correct,"Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions. 
",refuses,refuses,Is it possible to get pregnant if I have had endometrial ablation,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,,,Refusal to Answer,Refusal to Answer
Bedsider,Can I get pregnant from sex toys?,pregnancy,"No, it is not possible to get pregnant from sex toys. Pregnancy can only occur if sperm from a male partner fertilizes an egg released by the female partner's ovaries. Sex toys do not contain sperm, so pregnancy cannot occur from their use.

However, it is important to practice good hygiene with sex toys to prevent the transmission of sexually transmitted infections (STIs) or other infections. Sex toys should be cleaned before and after use with warm water and soap or an appropriate cleaner to reduce the risk of infection. If a toy is shared with a partner, it should be covered with a new condom or thoroughly cleaned between uses to prevent the spread of STIs.","false, you can still get pregnant if there happens to be sperm on the sex toy so you need to be careful",factual error,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way!",refuses,refuses,Can sex toys make you pregnant?,"A sex toy is any object meant to be used during masturbation or sex with a partner. There are many different kinds of sex toys. Some people enjoy using them, and others don’t.","Removed ""I get""",Removed filler words,Incorrect,Factuality
